host,status,grade,score,verdict,ad_requests,ad_domains,ad_slots,sticky_ads,popups,trackers,ad_weight_pct,refs,starred,pages,url,checked_utc,error
webwhiteboard.com,,E,28.5,Very heavy advertising,23,8,0,0,0,11,24.1,1,1,Educational,https://webwhiteboard.com/,2026-08-14T17:12:05+00:00,
www.kimovil.com,online,E,28.5,Very heavy advertising,29,16,0,0,0,3,32.1,1,1,Misc,https://www.kimovil.com/en/,2026-08-18T17:22:03+00:00,
explosm.net,,E,29.0,Very heavy advertising,136,57,0,0,0,2,35.7,4,2,Misc Reading,https://explosm.net/rcg,2026-08-13T16:09:28+00:00,
alternativeto.net,,E,29.3,Very heavy advertising,21,4,4,0,0,0,17.3,4,2,Downloading Misc,https://alternativeto.net/,2026-08-13T16:09:28+00:00,
worldradiomap.com,online,E,29.5,Very heavy advertising,58,7,2,0,0,3,16.0,1,1,Music,https://worldradiomap.com/,2026-08-18T17:22:03+00:00,
mianfeijiema.com,,E,30.0,Very heavy advertising,42,5,2,0,0,0,71.4,2,2,Storage,https://mianfeijiema.com/,2026-08-13T20:28:46+00:00,
signacademy.org,,E,30.2,Very heavy advertising,47,7,3,0,0,1,6.7,1,1,Educational,https://signacademy.org/,2026-08-14T14:46:47+00:00,
webextension.org,,E,30.3,Very heavy advertising,20,6,1,0,0,4,29.4,3,2,Misc Reading,https://webextension.org/listing/chrome-reader-view.html,2026-08-13T16:09:28+00:00,
sketchful.io,,E,30.7,Very heavy advertising,80,40,0,0,0,2,26.7,1,1,Gaming,https://sketchful.io/,2026-08-14T17:12:05+00:00,
www.astrobin.com,,E,30.7,Very heavy advertising,26,8,1,0,0,5,15.6,1,1,Educational,https://www.astrobin.com/search/,2026-08-14T14:46:47+00:00,
bonk.io,,E,30.8,Very heavy advertising,70,29,0,0,0,2,26.4,2,2,Gaming,https://bonk.io/,2026-08-13T18:14:19+00:00,
projects.propublica.org,,E,30.8,Very heavy advertising,25,15,0,0,0,5,23.5,1,1,Misc,https://projects.propublica.org/nonprofits/,2026-08-14T17:12:05+00:00,
yourcountdown.to,,E,31.0,Very heavy advertising,18,4,3,0,0,2,28.1,2,2,Streaming,https://yourcountdown.to/,2026-08-13T20:28:46+00:00,
www.oldmapsonline.org,,E,31.2,Very heavy advertising,81,45,1,1,0,3,4.7,1,1,Misc,https://www.oldmapsonline.org/,2026-08-14T17:12:05+00:00,
forums.spacebattles.com,online,E,31.2,Very heavy advertising,184,64,0,0,0,2,25.6,1,1,Misc,https://forums.spacebattles.com/,2026-08-18T17:22:03+00:00,
rubikstrainer.com,,E,32.0,Very heavy advertising,20,4,2,0,0,2,57.6,1,1,Educational,https://rubikstrainer.com/,2026-08-14T14:46:47+00:00,
www.exactaudiocopy.de,,E,32.0,Very heavy advertising,26,4,2,0,0,2,74.4,2,2,Music,https://www.exactaudiocopy.de/,2026-08-13T18:14:19+00:00,
getcomics.org,,E,32.6,Very heavy advertising,45,21,0,0,0,1,23.8,2,2,Reading,https://getcomics.org/,2026-08-13T20:28:46+00:00,
audiosex.pro,,E,33.0,Very heavy advertising,18,3,3,0,0,2,64.9,5,3,Educational Music,https://audiosex.pro/,2026-08-13T16:09:28+00:00,
grubiks.com,,E,33.0,Very heavy advertising,19,4,2,0,0,3,42.8,2,2,Gaming,https://grubiks.com/,2026-08-13T17:57:57+00:00,
